Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Confusion Matrix
Decision Tree,0.8211382113821138,0.8247422680412371,0.9411764705882353,0.8791208791208791,0.7258513931888545,"[[21, 17], [5, 80]]"
Random Forest,0.8536585365853658,0.8316831683168316,0.9882352941176471,0.9032258064516129,0.8173374613003096,"[[21, 17], [1, 84]]"
K-Nearest Neighbors,0.8048780487804879,0.7904761904761904,0.9764705882352941,0.8736842105263158,0.7750773993808049,"[[16, 22], [2, 83]]"
XGBoost,0.8292682926829268,0.826530612244898,0.9529411764705882,0.8852459016393442,0.7569659442724458,"[[21, 17], [4, 81]]"
